,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
0,37976,Lightning Charging Cable,1,14.95,04/24/21 08:40,"397 9th St, Atlanta, GA, 30301"
1,38015,USB-C Charging Cable,1,11.95,04/15/21 11:23,"646 2nd St, New York City, NY, 10001"
2,38051,Wired Headphones,1,11.99,04/06/21 00:25,"71 Lincoln St, San Francisco, CA, 94016"
3,38076,USB-C Charging Cable,1,11.95,04/18/21 11:42,"734 River St, Seattle, WA, 98101"
4,38094,USB-C Charging Cable,1,11.95,04/19/21 03:44,"350 Center St, Los Angeles, CA, 90001"
5,38134,Apple Airpods Headphones,1,150.0,04/24/21 13:19,"382 Cherry St, New York City, NY, 10001"
6,38344,USB-C Charging Cable,1,11.95,04/30/21 02:47,"542 Lakeview St, Boston, MA, 02215"
7,38427,Lightning Charging Cable,1,14.95,04/20/21 13:56,"216 2nd St, Los Angeles, CA, 90001"
8,38429,USB-C Charging Cable,1,11.95,04/27/21 12:08,"720 Pine St, Dallas, TX, 75001"
9,38429,Wired Headphones,1,11.99,04/27/21 12:08,"720 Pine St, Dallas, TX, 75001"
10,38539,USB-C Charging Cable,1,11.95,04/15/21 20:24,"549 2nd St, New York City, NY, 10001"
11,38542,USB-C Charging Cable,1,11.95,04/08/21 17:29,"228 14th St, New York City, NY, 10001"
12,38639,USB-C Charging Cable,1,11.95,04/03/21 18:12,"165 Pine St, Portland, OR, 97035"
13,38639,Bose SoundSport Headphones,1,99.99,04/03/21 18:12,"165 Pine St, Portland, OR, 97035"
14,38640,Wired Headphones,1,11.99,04/14/21 13:37,"243 West St, Dallas, TX, 75001"
15,38651,Lightning Charging Cable,1,14.95,04/15/21 15:25,"481 Washington St, Austin, TX, 73301"
16,38660,Lightning Charging Cable,1,14.95,04/30/21 02:00,"377 11th St, Atlanta, GA, 30301"
17,38706,USB-C Charging Cable,1,11.95,04/01/21 21:52,"544 Johnson St, San Francisco, CA, 94016"
18,38768,USB-C Charging Cable,1,11.95,04/10/21 16:35,"70 Maple St, New York City, NY, 10001"
19,38779,Lightning Charging Cable,1,14.95,04/25/21 20:52,"575 Lincoln St, Los Angeles, CA, 90001"
20,38782,USB-C Charging Cable,1,11.95,04/18/21 17:49,"547 Johnson St, New York City, NY, 10001"
21,38907,Apple Airpods Headphones,1,150.0,04/11/21 16:45,"620 River St, Atlanta, GA, 30301"
22,38970,USB-C Charging Cable,1,11.95,04/04/21 08:54,"862 1st St, Seattle, WA, 98101"
23,38970,Wired Headphones,2,11.99,04/04/21 08:54,"862 1st St, Seattle, WA, 98101"
24,39012,Lightning Charging Cable,1,14.95,04/19/21 19:37,"933 West St, Seattle, WA, 98101"
25,39087,Wired Headphones,1,11.99,04/07/21 20:44,"175 Spruce St, Boston, MA, 02215"
26,39096,Lightning Charging Cable,1,14.95,04/03/21 12:43,"668 Washington St, Seattle, WA, 98101"
27,39103,Lightning Charging Cable,2,14.95,04/04/21 17:02,"648 8th St, San Francisco, CA, 94016"
28,39126,Lightning Charging Cable,1,14.95,04/15/21 15:46,"996 6th St, Los Angeles, CA, 90001"
29,39203,USB-C Charging Cable,2,11.95,04/05/21 17:36,"911 Washington St, Seattle, WA, 98101"
30,39232,Wired Headphones,1,11.99,04/25/21 21:34,"231 Dogwood St, Portland, OR, 97035"
31,39233,Lightning Charging Cable,1,14.95,04/11/21 20:43,"35 Madison St, New York City, NY, 10001"
32,39280,Lightning Charging Cable,1,14.95,05/01/21 00:45,"480 11th St, Portland, OR, 97035"
33,39336,USB-C Charging Cable,1,11.95,04/30/21 12:27,"946 Willow St, San Francisco, CA, 94016"
34,39435,Wired Headphones,1,11.99,04/14/21 15:43,"837 South St, Boston, MA, 02215"
35,39452,Wired Headphones,1,11.99,04/19/21 14:46,"237 West St, San Francisco, CA, 94016"
36,39604,Wired Headphones,1,11.99,04/14/21 05:51,"524 West St, Portland, OR, 97035"
37,39613,Lightning Charging Cable,1,14.95,04/02/21 10:02,"46 River St, Austin, TX, 73301"
38,39626,Lightning Charging Cable,1,14.95,04/08/21 14:09,"273 Lakeview St, San Francisco, CA, 94016"
39,,,,,,
40,39680,Wired Headphones,1,11.99,04/29/21 21:20,"397 Park St, San Francisco, CA, 94016"
41,39687,Lightning Charging Cable,1,14.95,04/08/21 10:04,"994 Dogwood St, San Francisco, CA, 94016"
42,39748,Lightning Charging Cable,1,14.95,04/03/21 23:30,"688 Lake St, Dallas, TX, 75001"
43,39757,Lightning Charging Cable,1,14.95,04/03/21 12:07,"695 Cedar St, San Francisco, CA, 94016"
44,39772,USB-C Charging Cable,1,11.95,04/26/21 09:16,"39 Hickory St, San Francisco, CA, 94016"
45,39790,Lightning Charging Cable,1,14.95,04/10/21 23:53,"614 Jackson St, Atlanta, GA, 30301"
46,39793,Lightning Charging Cable,1,14.95,04/26/21 15:49,"956 Sunset St, Austin, TX, 73301"
47,39793,Wired Headphones,1,11.99,04/26/21 15:49,"956 Sunset St, Austin, TX, 73301"
48,39825,Apple Airpods Headphones,1,150,04/23/21 20:26,"269 12th St, New York City, NY, 10001"
49,39839,Wired Headphones,1,11.99,04/28/21 14:49,"910 Cedar St, San Francisco, CA, 94016"
50,39848,Vareebadd Phone,1,400,04/27/21 08:04,"154 Johnson St, San Francisco, CA, 94016"
51,39867,USB-C Charging Cable,1,11.95,04/12/21 15:04,"507 1st St, Portland, OR, 97035"
52,39867,Wired Headphones,1,11.99,04/12/21 15:04,"507 1st St, Portland, OR, 97035"
53,39881,USB-C Charging Cable,1,11.95,04/01/21 12:19,"758 Main St, San Francisco, CA, 94016"
