,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
0,92641,USB-C Charging Cable,1,11.95,08/31/21 15:59,"56 South St, Dallas, TX, 75001"
1,92771,Wired Headphones,1,11.99,08/14/21 08:07,"989 South St, Seattle, WA, 98101"
2,92795,Wired Headphones,1,11.99,08/26/21 19:39,"204 Willow St, Boston, MA, 02215"
3,92837,Wired Headphones,1,11.99,08/31/21 16:43,"277 Chestnut St, San Francisco, CA, 94016"
4,92939,USB-C Charging Cable,2,11.95,08/26/21 21:11,"360 Jefferson St, Dallas, TX, 75001"
5,92956,USB-C Charging Cable,1,11.95,08/27/21 16:48,"953 Church St, Los Angeles, CA, 90001"
6,93061,Apple Airpods Headphones,1,150.0,08/23/21 16:54,"965 West St, Atlanta, GA, 30301"
7,93071,USB-C Charging Cable,1,11.95,08/10/21 11:02,"905 Meadow St, Dallas, TX, 75001"
8,93112,Apple Airpods Headphones,1,150.0,08/30/21 12:30,"484 Center St, Los Angeles, CA, 90001"
9,93290,Lightning Charging Cable,1,14.95,08/16/21 11:27,"576 7th St, Seattle, WA, 98101"
10,93516,Lightning Charging Cable,2,14.95,08/22/21 00:56,"83 Jackson St, Los Angeles, CA, 90001"
11,93541,Lightning Charging Cable,1,14.95,08/04/21 10:20,"309 Hill St, Austin, TX, 73301"
12,93544,USB-C Charging Cable,1,11.95,08/01/21 12:46,"30 Cherry St, Los Angeles, CA, 90001"
13,93559,Lightning Charging Cable,1,14.95,08/16/21 20:32,"116 River St, New York City, NY, 10001"
14,93580,Lightning Charging Cable,1,14.95,08/02/21 09:07,"110 Wilson St, San Francisco, CA, 94016"
15,93580,Wired Headphones,2,11.99,08/02/21 09:07,"110 Wilson St, San Francisco, CA, 94016"
16,93658,USB-C Charging Cable,1,11.95,08/14/21 10:50,"25 Sunset St, San Francisco, CA, 94016"
17,93726,Bose SoundSport Headphones,1,99.99,08/03/21 13:01,"562 Main St, New York City, NY, 10001"
18,93726,Wired Headphones,1,11.99,08/03/21 13:01,"562 Main St, New York City, NY, 10001"
19,93749,Lightning Charging Cable,1,14.95,08/01/21 14:17,"903 Jefferson St, Atlanta, GA, 30301"
20,93749,Wired Headphones,2,11.99,08/01/21 14:17,"903 Jefferson St, Atlanta, GA, 30301"
21,93790,Lightning Charging Cable,1,14.95,08/18/21 12:23,"210 Dogwood St, Seattle, WA, 98101"
22,93866,Wired Headphones,1,11.99,08/23/21 18:27,"282 Forest St, Atlanta, GA, 30301"
23,93876,Wired Headphones,1,11.99,09/01/21 01:44,"772 Ridge St, San Francisco, CA, 94016"
24,93936,Lightning Charging Cable,1,14.95,08/03/21 10:46,"179 Chestnut St, Atlanta, GA, 30301"
25,93948,Bose SoundSport Headphones,1,99.99,08/06/21 17:42,"419 North St, Dallas, TX, 75001"
26,93985,USB-C Charging Cable,1,11.95,08/21/21 22:55,"735 12th St, Dallas, TX, 75001"
27,94064,Wired Headphones,1,11.99,08/04/21 18:10,"829 9th St, San Francisco, CA, 94016"
28,94111,Lightning Charging Cable,1,14.95,08/07/21 20:37,"283 Spruce St, Portland, OR, 97035"
29,94142,Wired Headphones,1,11.99,08/22/21 00:02,"966 2nd St, New York City, NY, 10001"
30,94146,Wired Headphones,1,11.99,08/19/21 21:08,"287 Jackson St, New York City, NY, 10001"
31,94200,USB-C Charging Cable,2,11.95,08/09/21 19:09,"103 Willow St, Atlanta, GA, 30301"
32,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
33,94325,Wired Headphones,1,11.99,08/13/21 23:42,"242 Highland St, Los Angeles, CA, 90001"
34,94361,USB-C Charging Cable,1,11.95,08/04/21 10:50,"764 2nd St, Seattle, WA, 98101"
35,94526,Wired Headphones,1,11.99,08/09/21 19:45,"585 Hill St, Atlanta, GA, 30301"
36,94581,Lightning Charging Cable,1,14.95,08/19/21 18:00,"802 Lakeview St, Dallas, TX, 75001"
37,94652,USB-C Charging Cable,1,11.95,08/26/21 12:39,"511 South St, San Francisco, CA, 94016"
38,94709,USB-C Charging Cable,1,11.95,08/27/21 16:03,"156 5th St, San Francisco, CA, 94016"
39,94715,USB-C Charging Cable,1,11.95,08/26/21 17:53,"748 4th St, Austin, TX, 73301"
40,94720,Apple Airpods Headphones,1,150,08/26/21 16:12,"706 Cedar St, New York City, NY, 10001"
41,94902,USB-C Charging Cable,1,11.95,08/20/21 00:57,"251 5th St, Boston, MA, 02215"
42,95017,Lightning Charging Cable,1,14.95,08/03/21 15:13,"903 Elm St, Boston, MA, 02215"
43,95099,Lightning Charging Cable,1,14.95,08/27/21 23:49,"284 River St, Los Angeles, CA, 90001"
44,95174,USB-C Charging Cable,1,11.95,08/20/21 17:50,"821 6th St, San Francisco, CA, 94016"
45,95191,Apple Airpods Headphones,1,150,08/26/21 16:31,"523 6th St, Atlanta, GA, 30301"
46,95206,USB-C Charging Cable,1,11.95,08/21/21 14:04,"744 Cherry St, Boston, MA, 02215"
47,95225,Lightning Charging Cable,1,14.95,08/06/21 16:15,"893 Jefferson St, Austin, TX, 73301"
48,95325,USB-C Charging Cable,1,11.95,08/10/21 17:51,"275 Jefferson St, Seattle, WA, 98101"
49,95421,USB-C Charging Cable,1,11.95,08/04/21 20:55,"715 Cherry St, Austin, TX, 73301"
