,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
0,146260,Wired Headphones,2,11.99,12/31/21 02:12,"836 12th St, San Francisco, CA, 94016"
1,146296,Wired Headphones,1,11.99,12/15/21 19:57,"187 Spruce St, Dallas, TX, 75001"
2,146361,Wired Headphones,1,11.99,01/01/22 02:41,"444 Highland St, San Francisco, CA, 94016"
3,146446,Lightning Charging Cable,1,14.95,12/13/21 15:11,"169 10th St, Atlanta, GA, 30301"
4,146462,Wired Headphones,1,11.99,12/10/21 16:08,"664 Madison St, Los Angeles, CA, 90001"
5,146498,USB-C Charging Cable,1,11.95,12/27/21 11:53,"548 Washington St, San Francisco, CA, 94016"
6,146654,Wired Headphones,1,11.99,12/21/21 10:49,"797 Cedar St, Dallas, TX, 75001"
7,146803,Apple Airpods Headphones,1,150.0,12/22/21 11:56,"882 9th St, Los Angeles, CA, 90001"
8,146829,USB-C Charging Cable,1,11.95,12/28/21 15:01,"253 Johnson St, Seattle, WA, 98101"
9,146857,USB-C Charging Cable,1,11.95,12/20/21 19:43,"895 Forest St, Boston, MA, 02215"
10,146868,Lightning Charging Cable,1,14.95,12/03/21 10:07,"74 Lakeview St, Boston, MA, 02215"
11,146876,Lightning Charging Cable,1,14.95,12/04/21 17:31,"543 Lakeview St, Dallas, TX, 75001"
12,146879,Lightning Charging Cable,1,14.95,12/09/21 08:47,"820 Highland St, Los Angeles, CA, 90001"
13,147005,Wired Headphones,1,11.99,12/20/21 14:51,"585 9th St, Dallas, TX, 75001"
14,147010,USB-C Charging Cable,1,11.95,12/30/21 23:39,"646 Washington St, Los Angeles, CA, 90001"
15,147072,Wired Headphones,1,11.99,12/26/21 18:46,"751 West St, Portland, OR, 97035"
16,147229,Apple Airpods Headphones,1,150.0,12/29/21 11:58,"657 Elm St, Los Angeles, CA, 90001"
17,147254,Wired Headphones,1,11.99,12/12/21 12:30,"34 Highland St, Boston, MA, 02215"
18,147269,Wired Headphones,1,11.99,12/10/21 19:21,"760 Jefferson St, Boston, MA, 02215"
19,147457,USB-C Charging Cable,1,11.95,12/26/21 00:30,"230 West St, San Francisco, CA, 94016"
20,147457,Bose SoundSport Headphones,1,99.99,12/26/21 00:30,"230 West St, San Francisco, CA, 94016"
21,147508,Wired Headphones,1,11.99,12/19/21 08:47,"862 Madison St, New York City, NY, 10001"
22,147510,Lightning Charging Cable,1,14.95,12/12/21 14:15,"109 Lakeview St, New York City, NY, 10001"
23,147515,Bose SoundSport Headphones,1,99.99,12/19/21 15:00,"178 Elm St, Boston, MA, 02215"
24,147515,Lightning Charging Cable,1,14.95,12/19/21 15:00,"178 Elm St, Boston, MA, 02215"
25,,,,,,
26,147644,USB-C Charging Cable,1,11.95,12/28/21 23:17,"352 Main St, San Francisco, CA, 94016"
27,147682,Lightning Charging Cable,1,14.95,12/26/21 21:01,"533 Center St, New York City, NY, 10001"
28,147686,Bose SoundSport Headphones,1,99.99,12/07/21 10:40,"152 Ridge St, Seattle, WA, 98101"
29,147705,USB-C Charging Cable,1,11.95,12/13/21 09:02,"647 9th St, San Francisco, CA, 94016"
30,147759,Lightning Charging Cable,1,14.95,12/07/21 06:33,"700 Church St, San Francisco, CA, 94016"
31,147762,Apple Airpods Headphones,1,150,12/13/21 22:33,"909 Maple St, Portland, OR, 97035"
32,147891,Bose SoundSport Headphones,1,99.99,12/02/21 19:48,"343 Forest St, Los Angeles, CA, 90001"
33,147905,Lightning Charging Cable,1,14.95,12/25/21 18:33,"360 Lincoln St, Atlanta, GA, 30301"
34,147940,Lightning Charging Cable,1,14.95,12/26/21 11:32,"333 9th St, Boston, MA, 02215"
35,147974,USB-C Charging Cable,1,11.95,12/24/21 15:41,"168 Johnson St, Los Angeles, CA, 90001"
36,147974,Wired Headphones,1,11.99,12/24/21 15:41,"168 Johnson St, Los Angeles, CA, 90001"
37,147982,Wired Headphones,1,11.99,12/31/21 14:46,"73 Pine St, Dallas, TX, 75001"
