,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
0,23226,Wired Headphones,1,11.99,02/20/21 17:01,"898 West St, Austin, TX, 73301"
1,23291,Lightning Charging Cable,1,14.95,02/22/21 18:54,"778 Willow St, Seattle, WA, 98101"
2,,,,,,
3,23333,Wired Headphones,1,11.99,02/27/21 18:01,"816 West St, San Francisco, CA, 94016"
4,23338,USB-C Charging Cable,2,11.95,02/05/21 15:14,"942 Adams St, Austin, TX, 73301"
5,23377,Lightning Charging Cable,1,14.95,02/15/21 18:16,"937 Lakeview St, Seattle, WA, 98101"
6,23390,USB-C Charging Cable,1,11.95,02/01/21 22:05,"529 Elm St, Boston, MA, 02215"
7,23400,USB-C Charging Cable,1,11.95,02/19/21 21:04,"139 Washington St, Seattle, WA, 98101"
8,23475,Apple Airpods Headphones,1,150,02/16/21 17:46,"530 7th St, Los Angeles, CA, 90001"
9,23507,Lightning Charging Cable,1,14.95,02/14/21 21:33,"155 Lakeview St, Los Angeles, CA, 90001"
10,23519,Lightning Charging Cable,1,14.95,02/24/21 09:10,"615 12th St, Boston, MA, 02215"
11,23595,Lightning Charging Cable,1,14.95,02/05/21 20:11,"455 Sunset St, Austin, TX, 73301"
12,23671,USB-C Charging Cable,1,11.95,02/23/21 19:29,"147 Walnut St, Seattle, WA, 98101"
13,23706,Bose SoundSport Headphones,1,99.99,02/11/21 09:01,"983 Hill St, Dallas, TX, 75001"
14,23794,USB-C Charging Cable,1,11.95,02/22/21 13:09,"413 Jackson St, Dallas, TX, 75001"
15,23844,USB-C Charging Cable,1,11.95,02/21/21 20:08,"134 6th St, Dallas, TX, 75001"
16,23845,USB-C Charging Cable,1,11.95,02/05/21 14:00,"790 Park St, Seattle, WA, 98101"
17,23958,USB-C Charging Cable,1,11.95,02/22/21 18:50,"343 Washington St, San Francisco, CA, 94016"
18,23970,Bose SoundSport Headphones,1,99.99,02/22/21 16:40,"311 8th St, Los Angeles, CA, 90001"
19,24026,Lightning Charging Cable,1,14.95,02/11/21 20:12,"186 Lincoln St, Seattle, WA, 98101"
20,24146,Wired Headphones,2,11.99,02/17/21 19:44,"642 Dogwood St, Los Angeles, CA, 90001"
21,24160,Wired Headphones,1,11.99,02/26/21 20:17,"417 10th St, Boston, MA, 02215"
22,24221,USB-C Charging Cable,1,11.95,02/24/21 20:50,"406 Park St, Los Angeles, CA, 90001"
23,24248,Lightning Charging Cable,1,14.95,02/21/21 13:36,"430 Jefferson St, Los Angeles, CA, 90001"
24,24255,Wired Headphones,1,11.99,02/28/21 23:55,"530 North St, San Francisco, CA, 94016"
25,24312,USB-C Charging Cable,1,11.95,02/28/21 17:21,"464 12th St, Los Angeles, CA, 90001"
26,24368,USB-C Charging Cable,1,11.95,02/11/21 13:00,"873 Highland St, Atlanta, GA, 30301"
27,24376,Lightning Charging Cable,1,14.95,02/02/21 17:58,"342 Center St, Boston, MA, 02215"
28,24459,Wired Headphones,1,11.99,02/11/21 10:16,"587 Lakeview St, Los Angeles, CA, 90001"
29,24501,Lightning Charging Cable,1,14.95,02/18/21 19:51,"529 Main St, Portland, OR, 97035"
30,24557,USB-C Charging Cable,1,11.95,02/15/21 09:15,"124 8th St, San Francisco, CA, 94016"
31,24578,Lightning Charging Cable,2,14.95,02/27/21 14:29,"674 14th St, Dallas, TX, 75001"
32,24609,Lightning Charging Cable,1,14.95,02/28/21 09:24,"696 Adams St, Boston, MA, 02215"
33,24638,Apple Airpods Headphones,1,150,02/23/21 16:32,"608 6th St, Portland, OR, 97035"
34,24673,USB-C Charging Cable,1,11.95,02/12/21 15:31,"563 Forest St, Boston, MA, 02215"
35,24716,USB-C Charging Cable,1,11.95,02/11/21 09:25,"631 Sunset St, Los Angeles, CA, 90001"
36,24764,USB-C Charging Cable,1,11.95,02/19/21 00:09,"987 Main St, Atlanta, GA, 30301"
37,24847,Apple Airpods Headphones,1,150,02/16/21 12:34,"168 Madison St, Dallas, TX, 75001"
38,24881,USB-C Charging Cable,1,11.95,02/22/21 10:55,"212 West St, Dallas, TX, 75001"
39,24889,USB-C Charging Cable,1,11.95,02/21/21 13:29,"628 West St, Los Angeles, CA, 90001"
40,24927,Wired Headphones,1,11.99,02/05/21 15:01,"457 Lake St, San Francisco, CA, 94016"
41,25014,Apple Airpods Headphones,1,150,02/17/21 13:09,"451 South St, New York City, NY, 10001"
42,25084,Lightning Charging Cable,1,14.95,02/16/21 14:57,"6 Forest St, New York City, NY, 10001"
43,25103,USB-C Charging Cable,1,11.95,02/17/21 17:10,"171 9th St, San Francisco, CA, 94016"
44,25104,Lightning Charging Cable,1,14.95,02/19/21 16:17,"63 9th St, San Francisco, CA, 94016"
45,25132,USB-C Charging Cable,2,11.95,02/24/21 13:41,"190 14th St, New York City, NY, 10001"
46,25166,Bose SoundSport Headphones,1,99.99,02/12/21 13:07,"705 Chestnut St, Los Angeles, CA, 90001"
47,25258,Lightning Charging Cable,1,14.95,02/25/21 11:49,"523 5th St, San Francisco, CA, 94016"
48,25298,Bose SoundSport Headphones,1,99.99,02/14/21 23:40,"583 11th St, San Francisco, CA, 94016"
49,25302,Wired Headphones,1,11.99,02/05/21 00:36,"999 8th St, San Francisco, CA, 94016"
50,25341,Wired Headphones,1,11.99,02/08/21 10:12,"377 Forest St, Austin, TX, 73301"
51,25358,USB-C Charging Cable,1,11.95,02/20/21 11:37,"70 Cherry St, Portland, OR, 97035"
52,25360,AAA Batteries (4-pack),1,2.99,02/19/21 14:38,"424 6th St, Boston, MA, 02215"
53,25416,27in 4K Gaming Monitor,1,389.99,02/28/21 22:26,"471 Johnson St, Boston, MA, 02215"
54,25424,Wired Headphones,2,11.99,02/21/21 17:29,"476 Hickory St, Atlanta, GA, 30301"
55,25459,USB-C Charging Cable,1,11.95,02/17/21 11:52,"768 10th St, New York City, NY, 10001"
56,25469,USB-C Charging Cable,1,11.95,02/08/21 11:45,"37 7th St, New York City, NY, 10001"
57,25477,USB-C Charging Cable,1,11.95,02/13/21 12:28,"334 Chestnut St, Austin, TX, 73301"
58,25477,Bose SoundSport Headphones,1,99.99,02/13/21 12:28,"334 Chestnut St, Austin, TX, 73301"
59,25599,USB-C Charging Cable,1,11.95,02/05/21 13:38,"346 14th St, New York City, NY, 10001"
60,25610,Lightning Charging Cable,1,14.95,02/28/21 13:12,"676 Main St, San Francisco, CA, 94016"
61,25610,Wired Headphones,1,11.99,02/28/21 13:12,"676 Main St, San Francisco, CA, 94016"
62,25750,USB-C Charging Cable,1,11.95,02/15/21 12:56,"633 Pine St, Austin, TX, 73301"
63,25838,Lightning Charging Cable,1,14.95,02/10/21 11:09,"951 Sunset St, Los Angeles, CA, 90001"
64,25860,Lightning Charging Cable,1,14.95,02/17/21 21:05,"192 Church St, San Francisco, CA, 94016"
65,25863,USB-C Charging Cable,1,11.95,02/03/21 22:29,"138 Ridge St, Dallas, TX, 75001"
