,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
0,14371,USB-C Charging Cable,1,11.95,01/03/21 09:56,"91 10th St, San Francisco, CA, 94016"
1,14406,Lightning Charging Cable,1,14.95,01/09/21 16:48,"162 9th St, San Francisco, CA, 94016"
2,14437,Lightning Charging Cable,1,14.95,01/15/21 10:25,"741 Johnson St, Los Angeles, CA, 90001"
3,14510,USB-C Charging Cable,1,11.95,01/11/21 18:31,"129 13th St, Portland, OR, 97035"
4,14546,Wired Headphones,1,11.99,01/22/21 21:22,"926 7th St, Atlanta, GA, 30301"
5,14591,Lightning Charging Cable,1,14.95,01/04/21 07:17,"238 Spruce St, San Francisco, CA, 94016"
6,14611,USB-C Charging Cable,1,11.95,01/06/21 14:14,"490 Hill St, Boston, MA, 02215"
7,14617,USB-C Charging Cable,1,11.95,01/28/21 23:22,"158 9th St, Portland, OR, 97035"
8,14626,Apple Airpods Headphones,1,150.0,01/26/21 08:16,"660 12th St, Portland, OR, 97035"
9,14653,USB-C Charging Cable,1,11.95,01/24/21 22:24,"377 River St, Seattle, WA, 98101"
10,14661,USB-C Charging Cable,1,11.95,01/20/21 19:10,"630 14th St, Austin, TX, 73301"
11,14767,Lightning Charging Cable,1,14.95,01/07/21 19:40,"783 4th St, Los Angeles, CA, 90001"
12,14905,Apple Airpods Headphones,1,150.0,01/09/21 17:59,"243 Elm St, New York City, NY, 10001"
13,14907,USB-C Charging Cable,1,11.95,01/22/21 21:35,"467 Madison St, Seattle, WA, 98101"
14,14913,USB-C Charging Cable,1,11.95,01/22/21 11:43,"142 Jackson St, San Francisco, CA, 94016"
15,14953,Wired Headphones,1,11.99,01/22/21 16:07,"385 Wilson St, San Francisco, CA, 94016"
16,14959,USB-C Charging Cable,1,11.95,01/13/21 08:13,"421 River St, San Francisco, CA, 94016"
17,15035,Lightning Charging Cable,1,14.95,01/12/21 16:34,"972 Forest St, Boston, MA, 02215"
18,15100,Wired Headphones,1,11.99,01/21/21 14:26,"941 11th St, San Francisco, CA, 94016"
19,15214,USB-C Charging Cable,1,11.95,01/01/21 17:00,"959 Park St, Seattle, WA, 98101"
20,15237,Wired Headphones,1,11.99,01/26/21 11:56,"218 Church St, Boston, MA, 02215"
21,15250,USB-C Charging Cable,1,11.95,01/08/21 13:32,"487 Hickory St, Boston, MA, 02215"
22,15262,USB-C Charging Cable,1,11.95,01/02/21 17:54,"904 Hickory St, Atlanta, GA, 30301"
