,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
0,80538,Bose SoundSport Headphones,1,99.99,07/16/21 18:00,"965 Wilson St, San Francisco, CA, 94016"
1,80620,Wired Headphones,1,11.99,07/07/21 21:58,"736 Jackson St, Los Angeles, CA, 90001"
2,80678,Wired Headphones,1,11.99,07/07/21 18:51,"587 7th St, Portland, ME, 04101"
3,80724,Lightning Charging Cable,1,14.95,07/25/21 15:30,"751 Hill St, New York City, NY, 10001"
4,80950,Lightning Charging Cable,1,14.95,07/31/21 19:57,"10 Johnson St, Atlanta, GA, 30301"
5,80954,USB-C Charging Cable,1,11.95,07/02/21 09:30,"796 Spruce St, New York City, NY, 10001"
6,81068,USB-C Charging Cable,1,11.95,07/13/21 14:58,"431 5th St, Los Angeles, CA, 90001"
7,81138,USB-C Charging Cable,1,11.95,07/13/21 12:55,"937 Maple St, San Francisco, CA, 94016"
8,81202,USB-C Charging Cable,1,11.95,07/20/21 15:55,"306 West St, San Francisco, CA, 94016"
9,81216,iPhone,1,700.0,07/14/21 20:23,"1 Highland St, New York City, NY, 10001"
10,81229,Wired Headphones,1,11.99,07/10/21 18:45,"649 River St, Los Angeles, CA, 90001"
11,81366,Wired Headphones,1,11.99,07/25/21 13:31,"622 Meadow St, Seattle, WA, 98101"
12,81389,USB-C Charging Cable,1,11.95,07/19/21 15:41,"508 Forest St, Los Angeles, CA, 90001"
13,81526,Lightning Charging Cable,1,14.95,07/11/21 16:24,"736 Cedar St, Boston, MA, 02215"
14,81648,USB-C Charging Cable,2,11.95,07/16/21 09:03,"812 Spruce St, Atlanta, GA, 30301"
15,81684,USB-C Charging Cable,1,11.95,07/22/21 15:54,"16 Ridge St, New York City, NY, 10001"
16,81715,Lightning Charging Cable,1,14.95,07/04/21 18:38,"588 Jackson St, Portland, OR, 97035"
17,81742,USB-C Charging Cable,1,11.95,07/08/21 08:27,"2 Chestnut St, Portland, OR, 97035"
18,81778,USB-C Charging Cable,1,11.95,07/25/21 11:07,"839 Park St, Los Angeles, CA, 90001"
19,81801,USB-C Charging Cable,3,11.95,07/17/21 15:57,"659 Ridge St, Seattle, WA, 98101"
20,81809,USB-C Charging Cable,1,11.95,07/26/21 12:23,"276 Walnut St, Atlanta, GA, 30301"
21,81843,Wired Headphones,1,11.99,07/19/21 16:55,"266 Park St, Boston, MA, 02215"
22,82017,USB-C Charging Cable,1,11.95,07/22/21 09:54,"967 Jefferson St, Boston, MA, 02215"
23,82065,Wired Headphones,1,11.99,07/21/21 08:45,"382 Jefferson St, San Francisco, CA, 94016"
24,82071,Wired Headphones,1,11.99,07/22/21 23:00,"923 6th St, San Francisco, CA, 94016"
25,82142,USB-C Charging Cable,1,11.95,07/25/21 11:42,"238 Spruce St, Portland, OR, 97035"
26,82158,Lightning Charging Cable,1,14.95,07/23/21 11:22,"744 Willow St, San Francisco, CA, 94016"
27,82158,Wired Headphones,1,11.99,07/23/21 11:22,"744 Willow St, San Francisco, CA, 94016"
28,82162,Bose SoundSport Headphones,1,99.99,07/04/21 07:53,"86 Washington St, Seattle, WA, 98101"
29,82246,Apple Airpods Headphones,1,150.0,07/16/21 23:24,"826 Main St, San Francisco, CA, 94016"
