,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
0,68880,Lightning Charging Cable,1,14.95,06/12/21 09:53,"236 Dogwood St, San Francisco, CA, 94016"
1,68887,Wired Headphones,1,11.99,06/14/21 01:16,"554 Lakeview St, Seattle, WA, 98101"
2,69026,Lightning Charging Cable,1,14.95,06/18/21 17:55,"625 Jackson St, Los Angeles, CA, 90001"
3,69108,USB-C Charging Cable,1,11.95,06/21/21 10:34,"712 5th St, Atlanta, GA, 30301"
4,69155,Apple Airpods Headphones,1,150.0,06/23/21 12:53,"472 13th St, Seattle, WA, 98101"
5,69162,Lightning Charging Cable,2,14.95,06/01/21 18:15,"396 Washington St, San Francisco, CA, 94016"
6,69190,USB-C Charging Cable,1,11.95,06/01/21 14:41,"599 Cedar St, Seattle, WA, 98101"
7,69212,Apple Airpods Headphones,1,150.0,06/11/21 17:02,"733 Center St, Dallas, TX, 75001"
8,69257,Wired Headphones,1,11.99,06/14/21 19:57,"115 11th St, Los Angeles, CA, 90001"
9,69288,Wired Headphones,1,11.99,06/28/21 21:57,"796 Ridge St, San Francisco, CA, 94016"
10,69362,Lightning Charging Cable,1,14.95,06/10/21 17:24,"698 Willow St, San Francisco, CA, 94016"
11,69365,USB-C Charging Cable,1,11.95,06/01/21 21:22,"175 Jackson St, Dallas, TX, 75001"
12,69366,Lightning Charging Cable,1,14.95,06/11/21 12:13,"427 Lakeview St, Austin, TX, 73301"
13,69430,Bose SoundSport Headphones,1,99.99,06/05/21 19:01,"678 Jefferson St, Dallas, TX, 75001"
14,69481,Lightning Charging Cable,1,14.95,06/29/21 19:41,"594 Ridge St, Atlanta, GA, 30301"
15,69503,USB-C Charging Cable,1,11.95,06/28/21 20:33,"427 Cherry St, San Francisco, CA, 94016"
16,69539,USB-C Charging Cable,1,11.95,06/18/21 22:08,"776 Cherry St, Portland, OR, 97035"
17,69632,USB-C Charging Cable,1,11.95,06/26/21 10:32,"728 Forest St, New York City, NY, 10001"
18,69708,USB-C Charging Cable,1,11.95,06/30/21 21:31,"281 Lincoln St, San Francisco, CA, 94016"
19,69730,USB-C Charging Cable,1,11.95,06/06/21 12:42,"403 8th St, New York City, NY, 10001"
20,69730,Wired Headphones,1,11.99,06/06/21 12:42,"403 8th St, New York City, NY, 10001"
21,69737,Wired Headphones,1,11.99,06/01/21 21:16,"966 Pine St, Austin, TX, 73301"
22,69743,Apple Airpods Headphones,1,150.0,06/05/21 11:52,"307 14th St, Boston, MA, 02215"
23,69783,Lightning Charging Cable,1,14.95,06/23/21 21:22,"634 River St, Austin, TX, 73301"
24,69800,Apple Airpods Headphones,1,150.0,06/26/21 22:59,"488 Center St, Boston, MA, 02215"
25,69891,Lightning Charging Cable,1,14.95,06/23/21 21:45,"55 Lakeview St, Seattle, WA, 98101"
26,69908,Lightning Charging Cable,1,14.95,06/15/21 12:24,"929 2nd St, New York City, NY, 10001"
27,69914,USB-C Charging Cable,1,11.95,06/06/21 11:29,"132 2nd St, Atlanta, GA, 30301"
28,69990,Wired Headphones,2,11.99,06/09/21 01:07,"99 Wilson St, Portland, ME, 04101"
29,70004,Lightning Charging Cable,1,14.95,06/05/21 15:53,"375 Adams St, Atlanta, GA, 30301"
30,70282,Wired Headphones,3,11.99,06/30/21 19:13,"877 Walnut St, Los Angeles, CA, 90001"
31,70357,Lightning Charging Cable,1,14.95,06/24/21 05:59,"959 Cherry St, San Francisco, CA, 94016"
32,70406,Lightning Charging Cable,1,14.95,06/13/21 21:43,"277 Main St, Austin, TX, 73301"
33,70412,USB-C Charging Cable,1,11.95,06/30/21 23:52,"602 Church St, New York City, NY, 10001"
34,70432,USB-C Charging Cable,1,11.95,06/19/21 14:18,"470 West St, San Francisco, CA, 94016"
35,70495,USB-C Charging Cable,1,11.95,06/29/21 09:20,"972 9th St, Seattle, WA, 98101"
36,70636,AAA Batteries (4-pack),1,2.99,06/12/21 21:52,"551 13th St, Austin, TX, 73301"
37,70756,Wired Headphones,1,11.99,06/12/21 13:26,"467 Park St, Portland, OR, 97035"
38,70763,Bose SoundSport Headphones,1,99.99,06/29/21 13:23,"962 Spruce St, New York City, NY, 10001"
39,70895,Apple Airpods Headphones,1,150.0,06/30/21 08:41,"286 Willow St, San Francisco, CA, 94016"
40,70913,Wired Headphones,1,11.99,06/17/21 17:06,"483 Hill St, New York City, NY, 10001"
41,70920,USB-C Charging Cable,2,11.95,06/29/21 15:44,"655 Adams St, Atlanta, GA, 30301"
42,70955,USB-C Charging Cable,1,11.95,06/15/21 16:09,"963 Lakeview St, New York City, NY, 10001"
43,70975,Bose SoundSport Headphones,1,99.99,06/08/21 13:14,"695 Jefferson St, Los Angeles, CA, 90001"
44,71015,Wired Headphones,1,11.99,06/25/21 16:34,"93 West St, Atlanta, GA, 30301"
45,71056,USB-C Charging Cable,1,11.95,06/30/21 14:16,"829 Wilson St, Portland, OR, 97035"
46,71215,Wired Headphones,1,11.99,06/05/21 13:56,"79 Elm St, Boston, MA, 02215"
47,71233,Lightning Charging Cable,1,14.95,06/21/21 19:56,"422 9th St, Portland, OR, 97035"
48,71270,USB-C Charging Cable,1,11.95,06/03/21 21:35,"855 Lincoln St, Seattle, WA, 98101"
49,71270,Wired Headphones,1,11.99,06/03/21 21:35,"855 Lincoln St, Seattle, WA, 98101"
50,71426,USB-C Charging Cable,1,11.95,06/21/21 19:06,"81 Ridge St, Austin, TX, 73301"
51,71526,Wired Headphones,1,11.99,06/30/21 10:08,"410 West St, San Francisco, CA, 94016"
52,71537,Lightning Charging Cable,1,14.95,06/09/21 12:20,"227 12th St, Atlanta, GA, 30301"
53,71589,Lightning Charging Cable,1,14.95,06/14/21 18:37,"263 Dogwood St, Austin, TX, 73301"
54,71589,Wired Headphones,1,11.99,06/14/21 18:37,"263 Dogwood St, Austin, TX, 73301"
55,71603,USB-C Charging Cable,1,11.95,06/08/21 23:12,"710 Church St, Seattle, WA, 98101"
56,71604,Apple Airpods Headphones,1,150.0,06/22/21 18:41,"377 Meadow St, Portland, OR, 97035"
57,71618,USB-C Charging Cable,1,11.95,06/07/21 12:46,"978 South St, San Francisco, CA, 94016"
58,71632,USB-C Charging Cable,1,11.95,06/16/21 20:29,"779 South St, San Francisco, CA, 94016"
59,71728,USB-C Charging Cable,1,11.95,06/26/21 16:32,"620 River St, Seattle, WA, 98101"
60,71861,USB-C Charging Cable,1,11.95,06/12/21 22:07,"621 Jefferson St, Seattle, WA, 98101"
61,71941,Lightning Charging Cable,1,14.95,06/25/21 09:13,"698 Lake St, San Francisco, CA, 94016"
62,71946,USB-C Charging Cable,1,11.95,06/13/21 04:20,"997 Forest St, Los Angeles, CA, 90001"
63,71957,Lightning Charging Cable,1,14.95,06/01/21 21:07,"46 Madison St, Dallas, TX, 75001"
64,71957,Wired Headphones,1,11.99,06/01/21 21:07,"46 Madison St, Dallas, TX, 75001"
65,72025,USB-C Charging Cable,2,11.95,06/16/21 13:55,"48 Lakeview St, Dallas, TX, 75001"
66,72063,Wired Headphones,1,11.99,06/14/21 17:32,"371 12th St, New York City, NY, 10001"
67,72068,USB-C Charging Cable,1,11.95,06/20/21 15:48,"672 Jefferson St, Atlanta, GA, 30301"
68,72111,Wired Headphones,1,11.99,06/21/21 13:51,"939 Meadow St, Austin, TX, 73301"
69,72196,USB-C Charging Cable,1,11.95,06/30/21 14:48,"608 8th St, San Francisco, CA, 94016"
70,72251,Lightning Charging Cable,1,14.95,06/16/21 23:57,"519 Jefferson St, San Francisco, CA, 94016"
71,72404,Lightning Charging Cable,1,14.95,06/15/21 10:52,"937 Lincoln St, Atlanta, GA, 30301"
72,72527,Apple Airpods Headphones,1,150.0,06/15/21 21:50,"430 Cedar St, Portland, OR, 97035"
73,72532,USB-C Charging Cable,1,11.95,06/16/21 20:28,"500 5th St, Seattle, WA, 98101"
74,72575,Lightning Charging Cable,1,14.95,06/27/21 23:58,"46 Johnson St, Seattle, WA, 98101"
75,72575,Wired Headphones,2,11.99,06/27/21 23:58,"46 Johnson St, Seattle, WA, 98101"
76,72589,USB-C Charging Cable,1,11.95,06/18/21 17:36,"494 River St, Los Angeles, CA, 90001"
77,72645,Wired Headphones,1,11.99,06/10/21 09:42,"867 Park St, Dallas, TX, 75001"
78,72656,Lightning Charging Cable,1,14.95,06/25/21 16:54,"130 Center St, Austin, TX, 73301"
79,72682,USB-C Charging Cable,1,11.95,06/04/21 20:50,"643 Dogwood St, New York City, NY, 10001"
80,72702,Lightning Charging Cable,1,14.95,06/15/21 17:01,"142 Washington St, Seattle, WA, 98101"
81,72747,Lightning Charging Cable,1,14.95,06/14/21 20:58,"510 Cedar St, Los Angeles, CA, 90001"
82,72790,USB-C Charging Cable,1,11.95,06/09/21 16:32,"962 6th St, Portland, OR, 97035"
83,72808,Lightning Charging Cable,1,14.95,06/17/21 09:42,"542 12th St, San Francisco, CA, 94016"
84,72854,Lightning Charging Cable,1,14.95,06/05/21 17:18,"607 Sunset St, San Francisco, CA, 94016"
85,72855,Lightning Charging Cable,1,14.95,06/21/21 14:14,"75 Chestnut St, Boston, MA, 02215"
86,72933,Apple Airpods Headphones,1,150.0,06/01/21 13:22,"481 12th St, Los Angeles, CA, 90001"
87,73003,Wired Headphones,1,11.99,06/06/21 15:04,"980 Highland St, Austin, TX, 73301"
88,73004,Wired Headphones,1,11.99,06/10/21 17:40,"698 Johnson St, San Francisco, CA, 94016"
89,73021,Lightning Charging Cable,1,14.95,06/18/21 10:35,"249 10th St, Austin, TX, 73301"
90,73064,Bose SoundSport Headphones,1,99.99,06/24/21 05:12,"723 Hickory St, Los Angeles, CA, 90001"
91,73066,Wired Headphones,2,11.99,06/24/21 13:43,"713 Madison St, Atlanta, GA, 30301"
92,73109,Lightning Charging Cable,1,14.95,06/22/21 13:01,"142 Washington St, San Francisco, CA, 94016"
93,73123,Lightning Charging Cable,1,14.95,06/10/21 10:34,"5 14th St, Portland, ME, 04101"
94,73151,Lightning Charging Cable,1,14.95,06/13/21 18:00,"261 South St, New York City, NY, 10001"
95,73166,USB-C Charging Cable,1,11.95,06/19/21 20:22,"124 1st St, Los Angeles, CA, 90001"
96,73270,USB-C Charging Cable,1,11.95,06/04/21 09:15,"328 Walnut St, San Francisco, CA, 94016"
97,73272,Apple Airpods Headphones,1,150.0,06/25/21 22:35,"224 6th St, New York City, NY, 10001"
98,73288,Bose SoundSport Headphones,1,99.99,06/12/21 13:09,"364 North St, Los Angeles, CA, 90001"
99,73304,Wired Headphones,1,11.99,06/26/21 17:55,"249 Wilson St, San Francisco, CA, 94016"
100,73306,Lightning Charging Cable,1,14.95,06/10/21 21:29,"120 South St, Boston, MA, 02215"
101,73351,Apple Airpods Headphones,1,150.0,06/05/21 12:21,"730 6th St, New York City, NY, 10001"
102,73384,Wired Headphones,1,11.99,06/25/21 18:39,"707 Madison St, San Francisco, CA, 94016"
103,73413,USB-C Charging Cable,2,11.95,06/22/21 13:28,"322 Church St, San Francisco, CA, 94016"
104,73456,USB-C Charging Cable,1,11.95,06/04/21 09:25,"732 12th St, Atlanta, GA, 30301"
105,73483,USB-C Charging Cable,1,11.95,06/03/21 20:53,"776 Johnson St, Dallas, TX, 75001"
106,73495,Lightning Charging Cable,1,14.95,06/19/21 17:47,"48 Dogwood St, New York City, NY, 10001"
107,73576,Lightning Charging Cable,1,14.95,06/12/21 21:19,"732 13th St, Seattle, WA, 98101"
108,73584,USB-C Charging Cable,1,11.95,06/07/21 18:04,"269 Cherry St, Dallas, TX, 75001"
109,73647,Lightning Charging Cable,1,14.95,06/12/21 20:32,"699 Johnson St, San Francisco, CA, 94016"
110,73659,USB-C Charging Cable,1,11.95,06/06/21 13:07,"462 Cherry St, New York City, NY, 10001"
111,73701,Wired Headphones,1,11.99,06/09/21 14:27,"675 Sunset St, Seattle, WA, 98101"
112,73707,Wired Headphones,1,11.99,06/07/21 14:03,"796 9th St, San Francisco, CA, 94016"
113,73711,USB-C Charging Cable,1,11.95,06/30/21 12:55,"7 Hill St, New York City, NY, 10001"
114,73742,USB-C Charging Cable,1,11.95,06/01/21 20:02,"135 Hill St, Seattle, WA, 98101"
115,73771,Lightning Charging Cable,1,14.95,06/04/21 19:19,"980 13th St, San Francisco, CA, 94016"
116,73801,Wired Headphones,1,11.99,06/08/21 13:48,"236 Ridge St, San Francisco, CA, 94016"
117,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
118,73898,Wired Headphones,1,11.99,06/06/21 23:15,"278 14th St, San Francisco, CA, 94016"
119,73934,USB-C Charging Cable,1,11.95,06/08/21 14:42,"403 11th St, New York City, NY, 10001"
120,73934,27in 4K Gaming Monitor,1,389.99,06/08/21 14:42,"403 11th St, New York City, NY, 10001"
121,73988,USB-C Charging Cable,1,11.95,06/11/21 17:55,"81 Church St, New York City, NY, 10001"
122,73988,Wired Headphones,1,11.99,06/11/21 17:55,"81 Church St, New York City, NY, 10001"
123,74010,USB-C Charging Cable,3,11.95,06/23/21 18:59,"699 Church St, Los Angeles, CA, 90001"
124,74010,Bose SoundSport Headphones,1,99.99,06/23/21 18:59,"699 Church St, Los Angeles, CA, 90001"
125,74063,USB-C Charging Cable,2,11.95,06/19/21 09:56,"603 Wilson St, Seattle, WA, 98101"
126,74173,Wired Headphones,1,11.99,06/23/21 19:59,"842 Johnson St, San Francisco, CA, 94016"
127,74204,USB-C Charging Cable,1,11.95,07/01/21 00:44,"32 River St, Los Angeles, CA, 90001"
128,,,,,,
129,74209,USB-C Charging Cable,1,11.95,06/01/21 13:23,"990 Jefferson St, Portland, OR, 97035"
130,74307,USB-C Charging Cable,1,11.95,06/22/21 12:52,"458 Wilson St, Los Angeles, CA, 90001"
131,74362,Wired Headphones,1,11.99,06/07/21 21:30,"179 1st St, Dallas, TX, 75001"
132,74427,Apple Airpods Headphones,1,150,06/28/21 20:17,"869 Forest St, San Francisco, CA, 94016"
133,74446,USB-C Charging Cable,1,11.95,06/26/21 09:43,"116 Main St, San Francisco, CA, 94016"
134,74467,USB-C Charging Cable,1,11.95,06/12/21 10:22,"777 Spruce St, Seattle, WA, 98101"
