,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
0,50403,USB-C Charging Cable,1,11.95,05/11/21 01:28,"524 Center St, Seattle, WA, 98101"
1,50430,Lightning Charging Cable,1,14.95,05/06/21 10:06,"662 11th St, Austin, TX, 73301"
2,50430,Wired Headphones,1,11.99,05/06/21 10:06,"662 11th St, Austin, TX, 73301"
3,50439,USB-C Charging Cable,1,11.95,05/18/21 16:19,"485 Hickory St, San Francisco, CA, 94016"
4,50446,Wired Headphones,1,11.99,05/18/21 14:15,"493 13th St, New York City, NY, 10001"
5,50501,Wired Headphones,1,11.99,05/01/21 11:42,"345 8th St, San Francisco, CA, 94016"
6,50538,USB-C Charging Cable,1,11.95,05/22/21 16:34,"829 Dogwood St, San Francisco, CA, 94016"
7,50690,Lightning Charging Cable,1,14.95,05/01/21 16:44,"321 Chestnut St, San Francisco, CA, 94016"
8,50732,USB-C Charging Cable,1,11.95,05/17/21 09:48,"130 Dogwood St, New York City, NY, 10001"
9,50765,Wired Headphones,1,11.99,05/22/21 12:49,"634 Pine St, Dallas, TX, 75001"
10,50774,Lightning Charging Cable,1,14.95,05/16/21 19:19,"644 Forest St, Seattle, WA, 98101"
11,50841,20in Monitor,1,109.99,05/29/21 21:27,"565 Dogwood St, San Francisco, CA, 94016"
12,50855,USB-C Charging Cable,1,11.95,05/07/21 17:25,"635 Lincoln St, San Francisco, CA, 94016"
13,50867,USB-C Charging Cable,1,11.95,05/05/21 08:27,"485 Elm St, Atlanta, GA, 30301"
14,50948,USB-C Charging Cable,1,11.95,05/14/21 06:51,"221 Forest St, San Francisco, CA, 94016"
15,50962,USB-C Charging Cable,1,11.95,05/01/21 14:06,"737 Jackson St, Atlanta, GA, 30301"
16,51002,Lightning Charging Cable,1,14.95,05/23/21 17:10,"432 Main St, San Francisco, CA, 94016"
17,51043,Lightning Charging Cable,1,14.95,05/13/21 08:41,"69 4th St, Portland, ME, 04101"
18,51048,Wired Headphones,1,11.99,05/22/21 14:52,"564 Sunset St, New York City, NY, 10001"
19,51056,USB-C Charging Cable,1,11.95,05/06/21 09:57,"135 4th St, Dallas, TX, 75001"
20,51077,USB-C Charging Cable,1,11.95,05/31/21 22:42,"873 Elm St, New York City, NY, 10001"
21,51153,Apple Airpods Headphones,1,150.0,05/22/21 15:44,"109 Sunset St, Los Angeles, CA, 90001"
22,51318,Lightning Charging Cable,1,14.95,05/18/21 20:41,"237 6th St, Portland, OR, 97035"
23,51339,USB-C Charging Cable,2,11.95,05/19/21 09:01,"160 Elm St, New York City, NY, 10001"
24,51401,Wired Headphones,1,11.99,05/11/21 12:21,"83 Lakeview St, New York City, NY, 10001"
25,51442,USB-C Charging Cable,2,11.95,05/13/21 23:54,"362 Lake St, San Francisco, CA, 94016"
26,51442,Bose SoundSport Headphones,1,99.99,05/13/21 23:54,"362 Lake St, San Francisco, CA, 94016"
27,51551,USB-C Charging Cable,1,11.95,05/18/21 21:14,"777 Johnson St, Dallas, TX, 75001"
28,51551,AAA Batteries (4-pack),1,2.99,05/18/21 21:14,"777 Johnson St, Dallas, TX, 75001"
29,51573,Lightning Charging Cable,1,14.95,05/13/21 13:30,"69 Cedar St, Seattle, WA, 98101"
30,51584,Wired Headphones,1,11.99,05/11/21 17:04,"584 Jefferson St, Dallas, TX, 75001"
31,51665,USB-C Charging Cable,1,11.95,05/16/21 16:06,"682 Spruce St, Boston, MA, 02215"
32,51678,Lightning Charging Cable,1,14.95,05/17/21 12:33,"290 Walnut St, Boston, MA, 02215"
33,51739,Apple Airpods Headphones,1,150.0,05/30/21 20:57,"649 Meadow St, Dallas, TX, 75001"
34,51805,Lightning Charging Cable,1,14.95,05/09/21 09:19,"190 Dogwood St, New York City, NY, 10001"
