,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
0,128995,Lightning Charging Cable,1,14.95,11/28/21 18:38,"394 4th St, Los Angeles, CA, 90001"
1,128998,Bose SoundSport Headphones,1,99.99,11/29/21 12:13,"51 6th St, Atlanta, GA, 30301"
2,128998,Lightning Charging Cable,1,14.95,11/29/21 12:13,"51 6th St, Atlanta, GA, 30301"
3,129003,Bose SoundSport Headphones,1,99.99,11/27/21 08:55,"154 Walnut St, Los Angeles, CA, 90001"
4,129022,Lightning Charging Cable,1,14.95,11/02/21 01:40,"530 Forest St, New York City, NY, 10001"
5,129089,Lightning Charging Cable,1,14.95,11/29/21 09:43,"986 Washington St, Boston, MA, 02215"
6,129102,USB-C Charging Cable,1,11.95,11/05/21 21:59,"97 Madison St, Los Angeles, CA, 90001"
7,129203,USB-C Charging Cable,1,11.95,11/30/21 17:52,"760 Hickory St, Seattle, WA, 98101"
8,129357,USB-C Charging Cable,2,11.95,11/12/21 15:03,"341 Main St, New York City, NY, 10001"
9,129406,Lightning Charging Cable,2,14.95,11/25/21 11:00,"143 11th St, New York City, NY, 10001"
10,129464,Wired Headphones,1,11.99,11/22/21 14:15,"415 Lakeview St, New York City, NY, 10001"
11,129612,USB-C Charging Cable,1,11.95,11/02/21 18:04,"933 Chestnut St, Los Angeles, CA, 90001"
12,,,,,,
13,129748,Bose SoundSport Headphones,1,99.99,11/14/21 00:08,"942 Lake St, Los Angeles, CA, 90001"
14,129843,USB-C Charging Cable,1,11.95,11/30/21 00:41,"957 8th St, Austin, TX, 73301"
15,129875,Lightning Charging Cable,1,14.95,11/07/21 12:00,"714 Wilson St, Atlanta, GA, 30301"
16,129906,Wired Headphones,1,11.99,11/09/21 11:55,"171 Elm St, Dallas, TX, 75001"
17,129944,USB-C Charging Cable,1,11.95,11/04/21 12:29,"55 River St, Portland, OR, 97035"
18,130096,Lightning Charging Cable,1,14.95,11/26/21 23:58,"726 South St, Portland, OR, 97035"
19,130099,USB-C Charging Cable,1,11.95,11/25/21 20:02,"628 Chestnut St, New York City, NY, 10001"
20,130134,34in Ultrawide Monitor,1,379.99,11/20/21 19:43,"633 Sunset St, Austin, TX, 73301"
21,130214,USB-C Charging Cable,1,11.95,11/08/21 22:02,"139 Meadow St, New York City, NY, 10001"
22,130214,Wired Headphones,1,11.99,11/08/21 22:02,"139 Meadow St, New York City, NY, 10001"
23,,,,,,
24,130296,Apple Airpods Headphones,1,150,11/16/21 12:50,"958 Center St, Los Angeles, CA, 90001"
25,130314,Lightning Charging Cable,1,14.95,11/25/21 00:51,"791 Jackson St, Portland, OR, 97035"
26,130350,Wired Headphones,1,11.99,11/27/21 09:07,"866 Adams St, New York City, NY, 10001"
27,130383,USB-C Charging Cable,1,11.95,11/04/21 03:34,"236 Main St, New York City, NY, 10001"
28,130385,USB-C Charging Cable,1,11.95,11/14/21 07:52,"757 Sunset St, San Francisco, CA, 94016"
29,130399,USB-C Charging Cable,1,11.95,11/15/21 15:18,"448 Maple St, San Francisco, CA, 94016"
30,130479,Lightning Charging Cable,1,14.95,11/29/21 16:26,"18 Wilson St, San Francisco, CA, 94016"
31,130636,Wired Headphones,1,11.99,11/12/21 12:43,"101 Adams St, San Francisco, CA, 94016"
32,130649,Bose SoundSport Headphones,1,99.99,11/18/21 14:17,"666 Willow St, Dallas, TX, 75001"
33,130725,Lightning Charging Cable,1,14.95,11/27/21 14:41,"960 Pine St, Atlanta, GA, 30301"
34,130838,USB-C Charging Cable,1,11.95,11/30/21 11:22,"119 Ridge St, Austin, TX, 73301"
35,130936,Wired Headphones,1,11.99,11/12/21 17:47,"916 Lakeview St, San Francisco, CA, 94016"
36,130972,Lightning Charging Cable,1,14.95,11/25/21 14:30,"736 Cherry St, Dallas, TX, 75001"
