,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
0,118580,USB-C Charging Cable,1,11.95,10/24/21 19:11,"339 Ridge St, San Francisco, CA, 94016"
1,,,,,,
2,118641,Lightning Charging Cable,2,14.95,10/23/21 16:13,"578 Ridge St, Portland, OR, 97035"
3,118821,Lightning Charging Cable,1,14.95,10/08/21 10:05,"256 Pine St, New York City, NY, 10001"
4,118821,Wired Headphones,1,11.99,10/08/21 10:05,"256 Pine St, New York City, NY, 10001"
5,118836,Bose SoundSport Headphones,1,99.99,10/15/21 15:48,"354 Wilson St, Atlanta, GA, 30301"
6,118851,USB-C Charging Cable,1,11.95,10/14/21 22:34,"264 River St, Los Angeles, CA, 90001"
7,118974,Bose SoundSport Headphones,1,99.99,10/18/21 10:24,"352 Forest St, Atlanta, GA, 30301"
8,118994,Lightning Charging Cable,1,14.95,10/03/21 11:35,"395 9th St, Boston, MA, 02215"
9,119025,USB-C Charging Cable,1,11.95,10/30/21 17:27,"645 7th St, Boston, MA, 02215"
10,,,,,,
11,119105,Lightning Charging Cable,1,14.95,10/12/21 17:38,"54 Maple St, Austin, TX, 73301"
12,119164,Google Phone,1,600,10/07/21 09:27,"86 12th St, Boston, MA, 02215"
13,119315,Wired Headphones,1,11.99,10/14/21 13:31,"405 Sunset St, Los Angeles, CA, 90001"
14,119501,Lightning Charging Cable,1,14.95,10/07/21 12:04,"139 West St, San Francisco, CA, 94016"
15,119622,USB-C Charging Cable,1,11.95,10/02/21 22:49,"630 River St, Boston, MA, 02215"
16,119724,USB-C Charging Cable,1,11.95,10/15/21 22:22,"579 Sunset St, Dallas, TX, 75001"
17,119733,Lightning Charging Cable,2,14.95,10/09/21 16:48,"723 Hickory St, San Francisco, CA, 94016"
18,119897,Apple Airpods Headphones,1,150,10/02/21 17:56,"106 6th St, Portland, ME, 04101"
19,119897,Wired Headphones,1,11.99,10/02/21 17:56,"106 6th St, Portland, ME, 04101"
20,120027,Wired Headphones,1,11.99,10/20/21 10:12,"550 Forest St, San Francisco, CA, 94016"
21,120048,USB-C Charging Cable,1,11.95,10/15/21 11:40,"191 Cedar St, Los Angeles, CA, 90001"
22,120052,Lightning Charging Cable,1,14.95,10/25/21 17:09,"883 River St, Atlanta, GA, 30301"
23,120057,USB-C Charging Cable,1,11.95,10/17/21 21:46,"248 West St, Austin, TX, 73301"
24,120083,Apple Airpods Headphones,1,150,10/14/21 12:04,"693 North St, New York City, NY, 10001"
25,120185,USB-C Charging Cable,1,11.95,10/10/21 21:04,"933 5th St, Boston, MA, 02215"
26,120269,USB-C Charging Cable,1,11.95,10/18/21 09:42,"931 2nd St, Austin, TX, 73301"
27,120329,Wired Headphones,1,11.99,10/06/21 19:04,"422 7th St, San Francisco, CA, 94016"
28,120333,Lightning Charging Cable,1,14.95,10/19/21 18:24,"251 Jefferson St, Atlanta, GA, 30301"
29,120376,USB-C Charging Cable,1,11.95,10/21/21 11:57,"979 Highland St, Austin, TX, 73301"
30,120381,Bose SoundSport Headphones,1,99.99,10/28/21 09:20,"126 Meadow St, Portland, OR, 97035"
31,120414,Bose SoundSport Headphones,1,99.99,10/25/21 22:32,"226 9th St, Austin, TX, 73301"
32,120415,Bose SoundSport Headphones,1,99.99,10/29/21 08:47,"229 Spruce St, Boston, MA, 02215"
33,120592,USB-C Charging Cable,1,11.95,10/17/21 14:06,"843 Park St, San Francisco, CA, 94016"
34,120644,Wired Headphones,1,11.99,10/21/21 10:42,"851 River St, Dallas, TX, 75001"
35,120670,Lightning Charging Cable,1,14.95,10/06/21 10:10,"132 2nd St, New York City, NY, 10001"
36,120739,Apple Airpods Headphones,1,150,10/31/21 07:52,"98 Madison St, New York City, NY, 10001"
37,120772,Lightning Charging Cable,1,14.95,10/03/21 10:11,"541 Madison St, Austin, TX, 73301"
38,120877,Lightning Charging Cable,1,14.95,10/06/21 21:52,"657 South St, New York City, NY, 10001"
39,120928,USB-C Charging Cable,1,11.95,10/27/21 12:43,"920 10th St, Dallas, TX, 75001"
40,121042,Wired Headphones,1,11.99,10/28/21 09:41,"137 Wilson St, Boston, MA, 02215"
41,121059,Wired Headphones,1,11.99,10/12/21 17:44,"733 North St, Los Angeles, CA, 90001"
42,121109,Lightning Charging Cable,1,14.95,10/21/21 10:17,"705 Spruce St, Atlanta, GA, 30301"
43,121109,Wired Headphones,1,11.99,10/21/21 10:17,"705 Spruce St, Atlanta, GA, 30301"
44,121159,USB-C Charging Cable,1,11.95,10/28/21 04:11,"861 Jefferson St, Boston, MA, 02215"
45,121198,Lightning Charging Cable,1,14.95,10/30/21 19:41,"726 6th St, Boston, MA, 02215"
46,121243,Lightning Charging Cable,1,14.95,10/26/21 10:52,"121 Washington St, New York City, NY, 10001"
47,121260,USB-C Charging Cable,1,11.95,10/31/21 00:14,"20 Willow St, New York City, NY, 10001"
48,121289,Lightning Charging Cable,1,14.95,10/15/21 06:37,"470 Spruce St, Dallas, TX, 75001"
49,121299,Wired Headphones,1,11.99,10/31/21 09:26,"861 Cherry St, Dallas, TX, 75001"
50,121335,USB-C Charging Cable,1,11.95,10/08/21 17:18,"341 12th St, New York City, NY, 10001"
51,121335,Wired Headphones,1,11.99,10/08/21 17:18,"341 12th St, New York City, NY, 10001"
52,121337,USB-C Charging Cable,1,11.95,10/31/21 18:01,"189 Lincoln St, Seattle, WA, 98101"
53,121362,Lightning Charging Cable,1,14.95,10/05/21 19:32,"718 Washington St, New York City, NY, 10001"
54,121382,USB-C Charging Cable,1,11.95,10/31/21 10:39,"772 River St, Los Angeles, CA, 90001"
55,121389,USB-C Charging Cable,1,11.95,10/28/21 15:23,"317 6th St, Dallas, TX, 75001"
56,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
57,121489,USB-C Charging Cable,1,11.95,10/28/21 05:01,"989 11th St, New York City, NY, 10001"
58,121489,Bose SoundSport Headphones,1,99.99,10/28/21 05:01,"989 11th St, New York City, NY, 10001"
59,121550,USB-C Charging Cable,1,11.95,10/08/21 17:16,"716 Elm St, Los Angeles, CA, 90001"
60,121714,Apple Airpods Headphones,1,150,10/12/21 09:36,"518 13th St, Los Angeles, CA, 90001"
61,121747,USB-C Charging Cable,1,11.95,10/26/21 19:58,"289 Adams St, Dallas, TX, 75001"
62,121830,Lightning Charging Cable,1,14.95,10/24/21 10:56,"466 14th St, Boston, MA, 02215"
63,122007,USB-C Charging Cable,1,11.95,10/18/21 20:45,"133 8th St, Los Angeles, CA, 90001"
64,122046,USB-C Charging Cable,1,11.95,10/21/21 06:35,"864 Hill St, Atlanta, GA, 30301"
65,122087,Bose SoundSport Headphones,1,99.99,10/28/21 20:43,"112 Sunset St, Boston, MA, 02215"
66,122141,USB-C Charging Cable,2,11.95,10/31/21 11:52,"619 Adams St, Los Angeles, CA, 90001"
67,122141,Wired Headphones,1,11.99,10/31/21 11:52,"619 Adams St, Los Angeles, CA, 90001"
68,122244,USB-C Charging Cable,1,11.95,10/18/21 08:19,"147 Sunset St, San Francisco, CA, 94016"
69,122252,USB-C Charging Cable,1,11.95,10/25/21 19:24,"233 Park St, Los Angeles, CA, 90001"
70,122279,USB-C Charging Cable,2,11.95,10/26/21 21:31,"109 Cherry St, Los Angeles, CA, 90001"
71,122279,Wired Headphones,1,11.99,10/26/21 21:31,"109 Cherry St, Los Angeles, CA, 90001"
72,122333,USB-C Charging Cable,1,11.95,10/16/21 00:45,"874 Walnut St, Dallas, TX, 75001"
73,122432,USB-C Charging Cable,1,11.95,10/19/21 21:37,"796 Park St, New York City, NY, 10001"
74,122496,USB-C Charging Cable,1,11.95,10/20/21 17:41,"133 Hill St, San Francisco, CA, 94016"
75,122523,Wired Headphones,1,11.99,10/07/21 06:30,"149 12th St, San Francisco, CA, 94016"
76,122574,Wired Headphones,1,11.99,10/24/21 20:36,"142 Lakeview St, Los Angeles, CA, 90001"
77,122669,USB-C Charging Cable,1,11.95,10/09/21 14:17,"207 Spruce St, Los Angeles, CA, 90001"
78,122678,USB-C Charging Cable,1,11.95,10/08/21 19:55,"731 Ridge St, Austin, TX, 73301"
79,122762,Apple Airpods Headphones,1,150,10/16/21 10:58,"431 4th St, New York City, NY, 10001"
80,122832,USB-C Charging Cable,1,11.95,10/01/21 21:00,"236 Wilson St, Dallas, TX, 75001"
81,122867,Wired Headphones,1,11.99,10/12/21 14:06,"41 Chestnut St, San Francisco, CA, 94016"
82,122952,20in Monitor,1,109.99,10/14/21 08:50,"606 Spruce St, Portland, OR, 97035"
83,122954,Wired Headphones,1,11.99,10/30/21 09:45,"644 9th St, Los Angeles, CA, 90001"
84,122989,Lightning Charging Cable,1,14.95,10/16/21 18:59,"962 2nd St, Austin, TX, 73301"
85,123027,Lightning Charging Cable,1,14.95,10/14/21 08:59,"73 4th St, Dallas, TX, 75001"
86,123046,Lightning Charging Cable,1,14.95,10/14/21 23:45,"384 Lakeview St, Boston, MA, 02215"
87,123046,Wired Headphones,1,11.99,10/14/21 23:45,"384 Lakeview St, Boston, MA, 02215"
88,123074,USB-C Charging Cable,1,11.95,10/11/21 12:03,"342 Church St, Austin, TX, 73301"
89,123120,USB-C Charging Cable,1,11.95,10/08/21 10:21,"592 Church St, San Francisco, CA, 94016"
90,123139,Wired Headphones,1,11.99,10/26/21 13:32,"479 Meadow St, Atlanta, GA, 30301"
91,123161,Bose SoundSport Headphones,1,99.99,10/20/21 11:25,"848 Hill St, Austin, TX, 73301"
92,123188,USB-C Charging Cable,1,11.95,10/09/21 19:33,"910 Cedar St, New York City, NY, 10001"
