,Order ID,Products,Quantity Ordered,Price Each,Ordered Date,Purchase Address
0,100785,Lightning Charging Cable,1,14.95,09/02/21 07:57,"329 Pine St, San Francisco, CA, 94016"
1,100793,USB-C Charging Cable,1,11.95,09/19/21 22:32,"371 12th St, New York City, NY, 10001"
2,100825,USB-C Charging Cable,1,11.95,09/15/21 11:27,"771 Maple St, Boston, MA, 02215"
3,100963,Wired Headphones,1,11.99,09/06/21 13:06,"670 Maple St, Austin, TX, 73301"
4,101091,Bose SoundSport Headphones,1,99.99,09/10/21 08:39,"321 Wilson St, Dallas, TX, 75001"
5,101140,USB-C Charging Cable,1,11.95,09/07/21 11:26,"477 11th St, Los Angeles, CA, 90001"
6,101236,Lightning Charging Cable,1,14.95,09/29/21 15:21,"52 South St, New York City, NY, 10001"
7,101251,34in Ultrawide Monitor,1,379.99,09/09/21 18:08,"798 11th St, Dallas, TX, 75001"
8,101258,USB-C Charging Cable,1,11.95,09/30/21 19:46,"719 Dogwood St, Dallas, TX, 75001"
9,101266,AAA Batteries (4-pack),4,2.99,09/10/21 13:27,"621 4th St, Portland, OR, 97035"
10,101278,Wired Headphones,1,11.99,09/08/21 18:20,"47 11th St, Boston, MA, 02215"
11,101297,Wired Headphones,1,11.99,09/15/21 19:23,"127 Washington St, Boston, MA, 02215"
12,101342,USB-C Charging Cable,1,11.95,09/25/21 10:55,"881 Chestnut St, Boston, MA, 02215"
13,101347,Wired Headphones,1,11.99,09/26/21 11:03,"469 Meadow St, Portland, OR, 97035"
14,101348,USB-C Charging Cable,1,11.95,09/06/21 21:11,"502 Ridge St, Seattle, WA, 98101"
15,101356,USB-C Charging Cable,1,11.95,09/17/21 12:31,"709 8th St, Boston, MA, 02215"
16,101357,USB-C Charging Cable,1,11.95,09/16/21 15:04,"790 Meadow St, Los Angeles, CA, 90001"
17,101357,Wired Headphones,1,11.99,09/16/21 15:04,"790 Meadow St, Los Angeles, CA, 90001"
18,101476,Lightning Charging Cable,1,14.95,09/04/21 10:23,"331 Cherry St, Austin, TX, 73301"
19,101479,Apple Airpods Headphones,1,150.0,09/04/21 20:59,"970 Walnut St, Boston, MA, 02215"
20,101496,Wired Headphones,1,11.99,09/09/21 13:16,"889 Walnut St, Austin, TX, 73301"
21,101496,Lightning Charging Cable,1,14.95,09/09/21 13:16,"889 Walnut St, Austin, TX, 73301"
22,101504,USB-C Charging Cable,1,11.95,09/23/21 19:24,"85 12th St, Boston, MA, 02215"
23,101623,Lightning Charging Cable,1,14.95,09/07/21 18:53,"582 Dogwood St, San Francisco, CA, 94016"
24,101626,USB-C Charging Cable,1,11.95,09/22/21 20:42,"869 Highland St, Los Angeles, CA, 90001"
25,101643,Wired Headphones,1,11.99,09/26/21 13:20,"967 2nd St, Portland, OR, 97035"
26,101683,AA Batteries (4-pack),1,3.84,09/04/21 02:16,"820 9th St, San Francisco, CA, 94016"
27,101704,USB-C Charging Cable,1,11.95,09/29/21 12:05,"278 Lincoln St, Los Angeles, CA, 90001"
28,101784,Lightning Charging Cable,1,14.95,09/24/21 18:26,"483 Lakeview St, San Francisco, CA, 94016"
29,101843,Apple Airpods Headphones,1,150.0,09/30/21 11:47,"498 Sunset St, Dallas, TX, 75001"
30,101848,Lightning Charging Cable,1,14.95,09/15/21 20:46,"409 9th St, San Francisco, CA, 94016"
31,101926,Apple Airpods Headphones,1,150.0,09/22/21 19:58,"85 North St, Dallas, TX, 75001"
32,101964,Lightning Charging Cable,1,14.95,09/02/21 17:09,"664 Center St, San Francisco, CA, 94016"
33,101997,USB-C Charging Cable,1,11.95,09/20/21 21:20,"628 Center St, Boston, MA, 02215"
34,102019,USB-C Charging Cable,1,11.95,09/01/21 13:15,"115 Center St, San Francisco, CA, 94016"
35,102068,Lightning Charging Cable,1,14.95,09/22/21 11:31,"665 Meadow St, Dallas, TX, 75001"
36,102115,USB-C Charging Cable,1,11.95,09/24/21 21:39,"425 Park St, Los Angeles, CA, 90001"
37,102141,Lightning Charging Cable,2,14.95,09/14/21 14:26,"311 Jefferson St, Boston, MA, 02215"
38,102166,Lightning Charging Cable,1,14.95,09/15/21 18:15,"500 Maple St, Dallas, TX, 75001"
39,102245,USB-C Charging Cable,1,11.95,09/24/21 09:11,"747 Forest St, New York City, NY, 10001"
40,102300,USB-C Charging Cable,1,11.95,09/17/21 20:38,"881 Cedar St, San Francisco, CA, 94016"
41,102325,USB-C Charging Cable,1,11.95,09/05/21 12:17,"111 2nd St, San Francisco, CA, 94016"
42,102376,USB-C Charging Cable,1,11.95,09/18/21 10:29,"140 11th St, Atlanta, GA, 30301"
43,102413,Wired Headphones,1,11.99,09/24/21 13:03,"265 Center St, San Francisco, CA, 94016"
44,102460,Bose SoundSport Headphones,1,99.99,09/19/21 19:27,"140 Jefferson St, Boston, MA, 02215"
45,102480,Wired Headphones,1,11.99,09/21/21 11:22,"987 14th St, Los Angeles, CA, 90001"
46,102491,Bose SoundSport Headphones,1,99.99,09/24/21 16:54,"947 Jefferson St, Boston, MA, 02215"
47,102505,Apple Airpods Headphones,1,150.0,09/23/21 16:22,"464 Park St, Portland, OR, 97035"
48,102505,Wired Headphones,2,11.99,09/23/21 16:22,"464 Park St, Portland, OR, 97035"
49,102585,Lightning Charging Cable,1,14.95,09/26/21 11:15,"119 Johnson St, Dallas, TX, 75001"
50,102585,Wired Headphones,1,11.99,09/26/21 11:15,"119 Johnson St, Dallas, TX, 75001"
51,102632,Lightning Charging Cable,1,14.95,09/22/21 18:55,"764 Spruce St, San Francisco, CA, 94016"
52,102683,Lightning Charging Cable,2,14.95,09/27/21 12:50,"364 1st St, Atlanta, GA, 30301"
53,102772,USB-C Charging Cable,1,11.95,09/15/21 08:41,"310 Sunset St, Seattle, WA, 98101"
54,102810,USB-C Charging Cable,1,11.95,09/28/21 20:46,"763 South St, Boston, MA, 02215"
55,102810,AAA Batteries (4-pack),3,2.99,09/28/21 20:46,"763 South St, Boston, MA, 02215"
56,102876,Wired Headphones,1,11.99,09/04/21 22:47,"524 Main St, San Francisco, CA, 94016"
57,102890,Apple Airpods Headphones,1,150.0,09/26/21 19:26,"99 Cedar St, Boston, MA, 02215"
58,102938,Lightning Charging Cable,1,14.95,09/29/21 08:07,"603 Walnut St, New York City, NY, 10001"
59,102938,Apple Airpods Headphones,1,150.0,09/29/21 08:07,"603 Walnut St, New York City, NY, 10001"
60,102952,Apple Airpods Headphones,1,150.0,09/10/21 20:34,"797 5th St, Portland, OR, 97035"
61,103056,Apple Airpods Headphones,1,150.0,09/12/21 18:21,"182 2nd St, New York City, NY, 10001"
62,103062,USB-C Charging Cable,1,11.95,09/08/21 10:10,"326 Willow St, Los Angeles, CA, 90001"
63,103132,Lightning Charging Cable,1,14.95,09/24/21 11:00,"769 River St, Austin, TX, 73301"
64,103205,USB-C Charging Cable,1,11.95,09/19/21 18:10,"8 Lincoln St, Boston, MA, 02215"
65,103234,Bose SoundSport Headphones,1,99.99,09/12/21 17:39,"773 Main St, Dallas, TX, 75001"
66,103258,Apple Airpods Headphones,1,150.0,09/25/21 14:38,"470 13th St, Los Angeles, CA, 90001"
67,103273,Wired Headphones,1,11.99,09/06/21 20:39,"713 Main St, Boston, MA, 02215"
68,103366,Lightning Charging Cable,1,14.95,09/26/21 12:55,"599 Ridge St, New York City, NY, 10001"
69,103553,Wired Headphones,1,11.99,09/28/21 09:04,"198 Main St, San Francisco, CA, 94016"
70,103567,Lightning Charging Cable,1,14.95,09/12/21 20:49,"237 Adams St, Los Angeles, CA, 90001"
71,103575,Lightning Charging Cable,1,14.95,09/19/21 20:29,"593 Forest St, Austin, TX, 73301"
72,103685,Lightning Charging Cable,1,14.95,09/22/21 10:12,"60 Park St, Los Angeles, CA, 90001"
73,103687,USB-C Charging Cable,1,11.95,09/14/21 15:26,"875 4th St, San Francisco, CA, 94016"
74,103713,USB-C Charging Cable,1,11.95,09/14/21 00:14,"747 6th St, Boston, MA, 02215"
75,103755,Apple Airpods Headphones,1,150.0,09/16/21 10:38,"123 Johnson St, Portland, OR, 97035"
76,103812,Apple Airpods Headphones,1,150.0,09/06/21 11:29,"891 1st St, Los Angeles, CA, 90001"
77,103868,USB-C Charging Cable,1,11.95,09/05/21 21:53,"940 6th St, Seattle, WA, 98101"
78,103868,Wired Headphones,1,11.99,09/05/21 21:53,"940 6th St, Seattle, WA, 98101"
79,103881,Wired Headphones,1,11.99,09/17/21 08:58,"219 12th St, Los Angeles, CA, 90001"
80,103899,USB-C Charging Cable,1,11.95,09/09/21 15:24,"221 11th St, New York City, NY, 10001"
81,104036,Wired Headphones,1,11.99,09/12/21 07:49,"928 13th St, New York City, NY, 10001"
82,104052,Lightning Charging Cable,1,14.95,09/27/21 23:05,"606 Dogwood St, San Francisco, CA, 94016"
83,104052,Apple Airpods Headphones,1,150.0,09/27/21 23:05,"606 Dogwood St, San Francisco, CA, 94016"
84,104061,USB-C Charging Cable,1,11.95,09/05/21 20:56,"170 Willow St, San Francisco, CA, 94016"
